key,0,1,2,3
236,61403,96,True,"Immortal Flames Quests"
237,61411,97,True,"Seasonal Events"
238,61411,97,True,"Heavensturn Events"
239,61411,97,True,"Eastern Duties"
240,61411,97,True,"Valentione's Day Events"
241,61411,97,True,"Valentione's & Little Ladies' Day Events"
242,61411,97,True,"Little Ladies' Day Events"
243,61411,97,True,"Little Ladies' & Hatching-tide Events"
244,61411,97,True,"Hatching-tide Events"
245,61411,97,True,"Gold Saucer Festivities"
246,61411,97,True,"Moonfire Faire Events"
247,61411,97,True,"Rising Events"
248,61411,97,True,"All Saints' Wake Events"
249,61411,97,True,"Starlight Celebration Events"
250,61411,97,True,"Other Seasonal Events"
251,61411,98,True,"Special Quests"
252,61411,98,True,"Collaboration Quests"
253,0,0,False,""
254,0,0,False,""
255,0,0,False,""
256,0,0,False,""
257,0,0,False,""
258,0,0,False,""
259,0,0,False,""
260,0,0,False,""
261,0,0,False,""
262,0,0,False,""
263,0,0,False,""
264,0,0,False,""
265,0,0,False,""
266,0,0,False,""
267,0,0,False,""
268,0,0,False,""
269,0,0,False,""
270,0,0,False,""
271,62501,99,False,"Battlecraft Levequests"
272,62502,103,False,"Carpenter Levequests"
273,62503,104,False,"Blacksmith Levequests"
274,62504,105,False,"Armorer Levequests"
275,62505,106,False,"Goldsmith Levequests"
276,62506,107,False,"Leatherworker Levequests"
277,62507,108,False,"Weaver Levequests"
278,62508,109,False,"Alchemist Levequests"
279,62509,110,False,"Culinarian Levequests"
280,62510,100,False,"Miner Levequests"
281,62511,101,False,"Botanist Levequests"
282,62512,102,False,"Fisher Levequests"
283,62513,124,False,"Maelstrom Levequests"
284,62514,124,False,"Order of the Twin Adder Levequests"
285,62515,124,False,"Immortal Flames Levequests"
286,61801,125,False,"Instanced Dungeons"
287,61802,125,False,"Instanced Raids"
288,61804,125,False,"Trials"
289,61801,126,False,"Instanced Dungeons"
290,61802,126,False,"Instanced Raids"
291,61804,126,False,"Trials"
292,61824,126,False,"Deep Dungeons"
293,61801,127,False,"Instanced Dungeons"
294,61802,127,False,"Instanced Raids"
295,61804,127,False,"Trials"
296,61824,127,False,"Deep Dungeons"
297,61833,127,False,"Eureka Expedition Quests"
298,61801,128,False,"Instanced Dungeons"
299,61802,128,False,"Instanced Raids"
300,61804,128,False,"Trials"
301,61838,128,False,"Save the Queen: Blades of Gunnhildr"
302,61801,129,False,"Instanced Dungeons"
303,61802,129,False,"Instanced Raids"
304,61804,129,False,"Trials"
305,61824,129,False,"Deep Dungeons"
306,61846,129,False,"Criterion Dungeons"
307,61801,130,False,"Instanced Dungeons"
308,61802,130,False,"Instanced Raids"
309,61804,130,False,"Trials"
310,61851,130,False,"The Occult Crescent"
311,61824,130,False,"Deep Dungeons"
312,61846,130,False,"Criterion Dungeons"
313,61803,125,False,"Guildhests"
314,0,0,False,""
315,0,0,False,""
316,0,0,False,""
317,0,0,False,""
318,0,0,False,""
319,0,0,False,""
320,0,0,False,""
321,0,0,False,""
322,0,0,False,""
323,0,0,False,""
324,0,0,False,""
325,0,0,False,""
326,0,0,False,""
327,0,0,False,""
328,0,0,False,""
329,0,0,False,""
330,0,0,False,""
331,0,0,False,""
332,0,0,False,""
333,0,0,False,""
334,0,0,False,""
335,0,0,False,""
336,0,0,False,""
337,0,0,False,""
338,0,0,False,""
339,0,0,False,""
340,0,0,False,""
341,0,0,False,""
342,0,0,False,""
343,0,0,False,""
344,0,131,False,"Legacy Main Scenario Quests"
345,0,131,False,"Legacy Sidequests"
346,0,131,False,"Legacy Class Quests"
347,0,131,False,"Legacy Job Quests"
348,0,131,False,"Legacy Grand Company Quests"
