key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
8,"Shot",False,405,1,0,0,0,-2,1876,0,0,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,0,0,0,0,-1,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
9,"Fast Blade",False,158,3,0,0,0,310,1875,0,1,0,1,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,38,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
10,"Rampart",False,152,4,0,0,0,369,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,900,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
11,"Savage Blade",False,157,3,0,0,0,311,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,9,False,0,0,25,58,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
12,"Convalescence",False,162,4,0,0,0,370,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,1200,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13,"Awareness",False,163,4,0,0,0,371,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,1200,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
14,"Flash",False,159,2,0,29,3,441,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,3,8,0,0,0,True,0,0,25,58,0,0,5,7,0,0,0,0,0,1,True,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
15,"Riot Blade",False,156,3,0,0,0,317,1875,0,1,0,4,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,9,False,0,0,25,58,0,0,-1,7,0,1,0,0,38,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
16,"Shield Bash",False,154,3,0,0,0,315,1875,0,1,0,10,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,39,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,38,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
17,"Sentinel",False,151,4,0,0,0,372,1875,0,1,0,38,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,63,564,0,True,0,0,1200,20,0,0,0,0,0,2,0,0,38,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
18,"Provoke",False,165,4,0,0,0,373,1875,0,-1,0,0,False,False,25,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,150,0,0,0,0,0,0,0,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
19,"Tempered Will",False,153,4,0,0,0,374,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,1800,11,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
20,"Fight or Flight",False,166,4,0,0,0,376,1875,0,1,0,2,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,600,11,0,0,0,0,0,2,0,0,38,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
21,"Rage of Halone",False,155,3,0,0,0,312,1875,0,1,0,26,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,63,260,15,False,0,0,25,58,0,0,-1,7,0,1,0,0,38,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
22,"Bulwark",False,167,4,0,0,0,377,1875,0,19,0,52,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,39,0,0,True,0,0,900,16,0,0,0,0,0,2,0,0,20,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
23,"Circle of Scorn",False,161,4,0,0,0,313,1892,0,1,0,50,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,0,0,0,0,0,True,0,0,300,7,0,0,-1,7,0,1,0,0,38,4,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
24,"Shield Lob",False,164,3,0,0,0,316,1875,0,1,0,15,False,False,20,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,39,0,0,True,0,0,25,58,0,0,-1,7,0,1,0,65798,38,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
25,"Shield Swipe",False,160,4,0,0,0,318,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,2,0,0,True,0,0,150,15,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
26,"Sword Oath",False,2504,2,0,29,4,442,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,3,10,0,0,0,True,0,0,25,58,0,0,0,0,0,2,381,0,0,1,True,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
27,"Cover",False,2501,4,0,0,0,375,1887,0,19,0,45,False,False,20,False,True,False,False,False,False,False,False,False,0,True,False,1,0,0,False,41,50,0,0,0,True,0,0,1200,21,0,0,0,0,0,2,0,66595,20,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
28,"Iron Will",False,2505,4,0,29,4,443,1875,0,1,0,10,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,20,1,0,0,0,0,0,2,0,0,38,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
29,"Spirits Within",False,2503,4,0,0,0,314,1875,0,19,0,30,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,63,415,0,True,0,0,300,8,0,0,-1,7,0,1,0,66591,20,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
30,"Hallowed Ground",False,2502,4,0,0,0,378,1875,0,19,0,50,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,4200,25,0,0,0,0,0,2,0,66596,20,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
31,"Heavy Swing",False,260,3,0,0,0,319,1875,0,3,0,1,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,44,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
32,"Foresight",False,252,4,0,0,0,379,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,1200,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
33,"Fracture",False,256,3,0,0,0,321,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
34,"Bloodbath",False,251,4,0,0,0,380,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,900,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
35,"Skull Sunder",False,257,3,0,0,0,320,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,31,False,0,0,25,58,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
36,"Mercy Stroke",False,265,4,0,0,0,381,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,6,0,0,True,0,0,900,0,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
37,"Maim",False,255,3,0,0,0,322,1875,0,3,0,4,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,31,False,0,0,25,58,0,0,-1,7,0,1,0,0,44,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
38,"Berserk",False,259,4,0,0,0,382,1875,0,3,0,6,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,63,218,0,True,0,0,600,11,0,0,0,0,0,2,0,0,44,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
39,"Brutal Swing",False,253,4,0,0,0,324,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,200,0,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
40,"Thrill of Battle",False,263,4,0,0,0,383,1875,0,3,0,30,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,900,16,0,0,0,0,0,2,0,65855,44,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
41,"Overpower",False,254,3,0,0,0,11589,1940,0,3,0,10,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,0,0,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,44,4,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
42,"Storm's Path",False,258,3,0,0,0,323,1875,0,3,0,26,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,37,False,0,0,25,58,0,0,-1,7,0,1,0,0,44,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
43,"Holmgang",False,266,4,0,0,0,385,1875,0,3,0,42,False,False,6,True,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,2400,25,0,0,0,0,0,1,0,0,44,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
44,"Vengeance",False,267,4,0,0,0,388,1875,0,3,0,38,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,63,567,0,True,0,0,1200,22,0,0,0,0,0,2,0,0,44,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
45,"Storm's Eye",False,264,3,0,0,0,329,1875,0,3,0,50,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,37,False,0,0,25,58,0,0,-1,7,0,1,0,0,44,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
46,"Tomahawk",False,261,3,0,0,0,328,1875,0,3,0,15,False,False,20,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,25,58,0,0,-1,7,0,1,0,65852,44,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
47,"Butcher's Block",False,262,3,0,0,0,325,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,35,False,0,0,25,58,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
48,"Defiance",False,2551,4,0,0,0,384,1875,0,3,0,10,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,20,2,0,0,0,0,0,2,0,0,44,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
49,"Inner Beast",False,2553,3,0,0,0,330,1875,0,21,0,35,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,22,50,63,265,0,True,0,0,25,58,0,0,-1,7,0,1,0,66586,22,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
50,"Unchained",False,2554,4,0,0,0,386,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,32,91,0,True,0,0,900,8,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
51,"Steel Cyclone",False,2552,3,0,0,0,327,1916,0,21,0,45,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,22,50,63,266,0,True,0,0,25,58,0,0,-1,7,0,1,0,66589,22,4,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
52,"Infuriate",False,2555,4,0,0,0,387,1875,0,21,0,50,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,42,0,0,True,0,0,600,20,71,2,0,0,0,2,0,66590,22,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
53,"Bootshine",False,208,3,10,0,0,333,1875,0,2,0,1,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,101,577,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,41,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
54,"True Strike",False,209,3,10,0,0,334,1875,0,2,0,4,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,101,577,32,108,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,41,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
55,"Featherfoot",False,202,4,0,0,0,389,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,900,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
56,"Snap Punch",False,210,3,10,0,0,336,1875,0,2,0,6,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,101,577,32,109,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,41,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
57,"Second Wind",False,201,4,2,0,0,390,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,1200,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
58,"Haymaker",False,203,3,0,0,0,331,1875,207,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,4,0,0,True,0,0,25,58,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
59,"Internal Release",False,212,4,0,0,0,391,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,600,5,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
60,"Fists of Earth",False,206,4,0,0,0,392,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,30,2,0,0,0,0,0,2,104,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
61,"Twin Snakes",False,213,3,10,0,0,337,1875,0,2,0,18,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,32,108,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,41,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
62,"Arm of the Destroyer",False,215,3,10,0,0,395,1875,0,2,0,26,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,0,0,63,430,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,41,4,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
63,"Fists of Fire",False,205,4,0,0,0,393,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,30,2,0,0,0,0,0,2,103,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
64,"Steel Peak",False,786,4,0,0,0,341,1888,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,400,4,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
65,"Mantra",False,216,4,0,0,0,5214,1922,0,2,0,42,False,False,0,True,False,False,False,False,False,False,False,False,0,True,False,2,30,0,False,0,0,0,0,0,True,0,0,900,16,0,0,0,0,0,2,0,0,41,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
66,"Demolish",False,204,3,10,0,0,342,1875,0,2,0,30,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,32,109,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,41,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
67,"Howling Fist",False,786,4,0,0,0,398,1889,0,-1,0,0,False,False,10,False,False,False,True,False,False,False,False,False,0,True,True,4,10,2,True,0,0,0,0,0,True,0,0,600,6,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
68,"Touch of Death",False,211,3,0,0,0,338,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
69,"Perfect Balance",False,217,4,0,0,0,399,1875,0,20,0,50,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,132,0,0,True,0,0,400,14,71,2,0,0,0,2,0,66602,21,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
70,"Rockbreaker",False,2529,3,10,0,0,7038,1875,0,20,0,30,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,0,0,32,109,0,False,0,0,25,58,0,0,-1,7,0,1,0,66597,21,4,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
71,"Shoulder Tackle",False,2526,4,0,0,0,394,1875,0,-1,1,0,False,False,20,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,300,9,71,1,-1,7,0,1,0,0,0,2,False,True,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
72,"One Ilm Punch",False,214,3,0,0,0,339,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,32,108,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
73,"Fists of Wind",False,2527,4,0,0,0,397,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,30,2,0,0,0,0,0,2,105,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
74,"Dragon Kick",False,2528,3,10,0,0,335,1875,0,2,0,50,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,41,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
75,"True Thrust",False,310,3,0,0,0,343,1875,193,4,0,1,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,47,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
76,"Feint",False,307,3,0,0,0,344,1875,205,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
77,"Keen Flurry",False,301,4,0,0,0,400,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,900,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
78,"Vorpal Thrust",False,312,3,0,0,0,345,1875,0,4,0,4,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,63,582,75,False,0,0,25,58,0,0,-1,7,0,1,0,0,47,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
79,"Heavy Thrust",False,311,3,0,0,0,346,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
80,"Invigorate",False,302,4,0,0,0,401,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,1200,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
81,"Impulse Drive",False,313,3,0,0,0,347,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
82,"Leg Sweep",False,305,4,0,0,0,348,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,300,0,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
83,"Life Surge",False,304,4,0,0,0,402,1875,0,4,0,6,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,400,15,71,1,0,0,0,2,0,0,47,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
84,"Full Thrust",False,314,3,0,0,0,354,1875,0,4,0,26,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,63,437,78,False,0,0,25,58,0,0,-1,7,0,1,0,0,47,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
