key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
12,1,243012,91,"pair of mystic boots",0,"pairs of mystic boots",0,0,1,0,0,"Mystic Boots","Evasion +8%
Movement Speed +50%
Increases HP recovery via actions and crucible items by 15%.","Increases evasion, movement speed, and HP recovery."
13,1,243013,104,"ring of protection",0,"rings of protection",0,0,1,0,0,"Ring of Protection","Damage Taken -10%
Maximum HP +7%","Reduces damage taken. Increases maximum HP."
14,1,243014,140,"ice shield",0,"ice shields",0,1,1,0,0,"Ice Shield","Damage Taken -30%
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Slow<UIGlow>01</UIGlow><UIForeground>01</UIForeground> +10%
30% chance to absorb ice damage as HP.","Reduces damage taken. Inflicts Slow on self. May absorb ice damage. "
15,1,243015,266,"earth shield",0,"earth shields",0,1,1,0,0,"Earth Shield","30% chance to absorb earth damage as HP.
10% chance to grant <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Stoneskin<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon blocking with shield.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Stoneskin Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Absorbs damage totaling 15% of maximum HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 60s","May absorb earth damage. May grant Stoneskin upon shield block."
16,1,243016,214,"water shield",0,"water shields",0,0,1,0,0,"Water Shield","Block Strength +50%
30% chance to absorb water damage as HP.
10% chance to grant <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Reflect<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon blocking with shield.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Reflect Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Reflects most magic attacks back at the caster
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 60s","Increases block strength. May absorb water damage. May grant Reflect upon shield block."
17,1,243017,82,"force shield",0,"force shields",0,0,1,0,0,"Force Shield","Block Strength +75%
Magic Vulnerability -10%","Increases block strength. Reduces magic damage taken."
18,1,243018,84,"crimson ribbon",0,"crimson ribbons",0,0,1,0,0,"Crimson Ribbon","Petrification Resistance +100%
Blind Resistance +100%
Paralysis Resistance +100%","Increases petrification, blind, and paralysis resistances."
19,1,243019,238,"pair of Genji gloves",0,"pairs of Genji gloves",0,0,1,0,0,"Genji Gloves","Damage Dealt +12%
Paralysis Resistance +100%
10% chance to recover TP upon completing a combo with a beastmaster instinctual skill.","Increases damage dealt and paralysis resistance. May recover TP upon familiar combo."
20,1,243020,94,"Genji greatshield",0,"Genji greatshields",0,0,1,0,0,"Genji Greatshield","Block Strength +30%
Evasion +10%","Increases block strength and evasion."
21,1,243021,226,"suit of Genji armor",0,"suits of Genji armor",0,0,1,0,0,"Genji Armor","Movement Speed -20%
Damage Taken -20%
Maximum HP +30%","Reduces movement speed and damage taken. Increases maximum HP."
22,1,243022,112,"pair of silver specs",0,"pairs of silver specs",0,0,1,0,0,"Silver Specs","Critical Hit Rate +15%
Blind Resistance +100%","Increases critical hit rate and blind resistance."
23,1,243023,189,"angel robe",0,"angel robes",0,1,1,0,0,"Angel Robe","Damage Taken -7%
Poison Resistance +100%
5% chance to grant one stack of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rehabilitation<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon suffering damage.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Rehabilitation Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Restores 3% of maximum HP at regular intervals
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 12s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Maximum Stacks:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 8","Reduces damage taken. Increases poison resistance. May recover HP upon suffering damage."
24,1,243024,390,"master shield",0,"master shields",0,0,1,0,0,"Master Shield","Block Strength +125%
Damage Taken -25%
Maximum HP +35%","Increases block strength and maximum HP. Reduces damage taken."
25,1,243025,220,"mystic veil",0,"mystic veils",0,0,1,0,0,"Mystic Veil","Magic Damage Dealt +18%
Magic Vulnerability -15%
Increases HP recovery via actions and crucible items by 15%.","Increases magic damage dealt and HP recovery. Reduces magic damage taken."
26,1,243026,122,"black cowl",0,"black cowls",0,0,1,0,0,"Black Cowl","Maximum HP +6%
Evasion +8%
Sleep Resistance +100%","Increases maximum HP, evasion, and sleep resistance."
27,1,243027,420,"hero's crown",0,"hero's crowns",0,0,1,0,0,"Hero's Crown","Maximum HP +30%
Damage Dealt +18%
Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Excellence<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon completing a combo with a beastmaster instinctual skill.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Excellence Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Nullifies most attacks and increases damage dealt by 10%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 9s","Increases maximum HP and damage dealt. Grants Excellence upon familiar combo."
28,1,243028,150,"mirage vest",0,"mirage vests",0,0,1,0,0,"Mirage Vest","20% chance to grant one stack of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Blink<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon suffering damage.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Blink Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Nullifies most physical attacks, reducing one stack per nullification
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 120s","May grant Blink upon suffering damage."
29,1,243029,99,"suit of soulreaper's armor",0,"suits of soulreaper's armor",0,0,1,0,0,"Soulreaper's Armor","Maximum HP +10%
Damage Taken -5%
Doom Resistance +100%","Increases maximum HP and doom resistance. Reduces damage taken."
30,1,243030,168,"suit of briar armor",0,"suits of briar armor",0,0,1,0,0,"Briar Armor","Deals unaspected damage with a potency of 360 each time you suffer physical damage.
Counter damage is affected by magic damage increase effects of other beast gear, items, and abilities.","Counters upon suffering physical damage."
31,1,243031,90,"coward's knife",0,"coward's knives",0,0,1,0,0,"Coward's Knife","Damage Dealt +1%
35% chance to offer escape from an enemy space, thus avoiding battle and forfeiting loot. Ineffective on elite enemy or boss spaces.
Grants one stack of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Guerrilla Tactics<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon fleeing.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Guerrilla Tactics Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases damage dealt by 18% and evasion by 4%","Increases damage dealt. May offer chance to flee enemy spaces."
32,1,243032,167,"umbral mantle",0,"umbral mantles",0,1,1,0,0,"Umbral Mantle","Maximum HP +12%
25% chance to recover TP upon completing a combo with a beastmaster instinctual skill.","Increases maximum HP. May recover TP upon familiar combo."
33,1,243033,81,"umbral band",0,"umbral bands",0,1,1,0,0,"Umbral Band","Physical Vulnerability -9%
10% chance to recover TP upon completing a combo with a beastmaster instinctual skill.","Reduces physical damage taken. May recover TP upon familiar combo."
34,1,243034,112,"umbral wristlet",0,"umbral wristlets",0,1,1,0,0,"Umbral Wristlet","Magic Vulnerability -15%
Maximum HP +5%
Stun Resistance +100%","Reduces magic damage taken. Increases maximum HP and stun resistance."
35,1,243035,190,"astral mantle",0,"astral mantles",0,1,1,0,0,"Astral Mantle","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rapid Recast<UIGlow>01</UIGlow><UIForeground>01</UIForeground> +25%
Damage Taken -7%
Maximum HP +15%","Grants Rapid Recast. Reduces damage taken. Increases maximum HP."
36,1,243036,74,"astral band",0,"astral bands",0,1,1,0,0,"Astral Band","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rapid Recast<UIGlow>01</UIGlow><UIForeground>01</UIForeground> +15%
Physical Vulnerability -8%","Grants Rapid Recast. Reduces physical damage taken."
37,1,243037,86,"astral wristlet",0,"astral wristlets",0,1,1,0,0,"Astral Wristlet","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rapid Recast<UIGlow>01</UIGlow><UIForeground>01</UIForeground> +15%
Magic Vulnerability -8%","Grants Rapid Recast. Reduces magic damage taken."
38,1,243038,168,"flame-wreathed axe",0,"flame-wreathed axes",0,0,1,0,0,"Flame-wreathed Axe","Deals additional fire damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.","Adds fire damage to auto-attacks."
39,1,243039,168,"icebitten axe",0,"icebitten axes",0,1,1,0,0,"Icebitten Axe","Deals additional ice damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.","Adds ice damage to auto-attacks."
40,1,243040,168,"thunderstruck axe",0,"thunderstruck axes",0,0,1,0,0,"Thunderstruck Axe","Deals additional lightning damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.","Adds lightning damage to auto-attacks."
41,1,243041,168,"earthcrushed axe",0,"earthcrushed axes",0,1,1,0,0,"Earthcrushed Axe","Deals additional earth damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.","Adds earth damage to auto-attacks."
42,1,243042,168,"deepdrowned axe",0,"deepdrowned axes",0,0,1,0,0,"Deepdrowned Axe","Deals additional water damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.","Adds water damage to auto-attacks."
43,1,243043,168,"windblown axe",0,"windblown axes",0,0,1,0,0,"Windblown Axe","Deals additional wind damage with a potency of 240 after each auto-attack.
Additional damage is affected by magic damage increase effects of other beast gear, items, and abilities.
When carrying multiple pieces of beast gear that influence auto-attacks, only one will take effect.","Adds wind damage to auto-attacks."
44,1,243044,175,"ninja suit",0,"ninja suits",0,0,1,0,0,"Ninja Suit","Maximum HP +17%
Evasion +8%
Grants one stack of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Haste<UIGlow>01</UIGlow><UIForeground>01</UIForeground> for each attack evaded.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Haste Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay by 2%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 60s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Maximum Stacks:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 5","Increases maximum HP and evasion. Grants Haste upon dodging."
45,1,243045,63,"pair of ninja gloves",0,"pairs of ninja gloves",0,0,1,0,0,"Ninja Gloves","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Haste<UIGlow>01</UIGlow><UIForeground>01</UIForeground> +2%
Physical Damage Dealt +3%","Grants Haste. Increases physical damage dealt."
46,1,243046,91,"ninja eyepatch",0,"ninja eyepatches",0,0,1,0,0,"Ninja Eyepatch","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Haste<UIGlow>01</UIGlow><UIForeground>01</UIForeground> +5%
Critical Hit Rate +5%","Grants Haste. Increases critical hit rate."
47,1,243047,224,"wind shield",0,"wind shields",0,0,1,0,0,"Wind Shield","30% chance to absorb wind damage as HP.
50% chance to grant <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Blink<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon blocking with shield.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Blink Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Nullifies most physical attacks, reducing one stack per nullification
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 120s","May absorb wind damage. May grant Blink upon shield block."
48,1,243048,154,"wind mask",0,"wind masks",0,0,1,0,0,"Wind Mask","Magic Vulnerability -10%
Increases HP recovery via actions and crucible items by 15%.
Grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Keen Edge<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon evading an attack.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Keen Edge Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Inflicts damage over time on self in exchange for increasing damage dealt by 30%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 21s","Reduces magic damage taken. Increases HP recovery. Grants Keen Edge upon dodging."
49,1,243049,264,"suit of wind armor",0,"suits of wind armor",0,0,1,0,0,"Wind Armor","Damage Taken -15%
Magic Damage Dealt +20%
Increases HP recovery via actions and crucible items by 30%.","Reduces damage taken. Increases magic damage dealt and HP recovery."
50,1,243050,268,"heavy axe",0,"heavy axes",0,0,1,0,0,"Heavy Axe","Damage Dealt +25%
Movement Speed -20%","Increases damage dealt. Reduces movement speed."
51,1,243051,172,"suit of mythril armor",0,"suits of mythril armor",0,0,1,0,0,"Mythril Armor","Damage Taken -15%
Maximum HP +15%","Reduces damage taken. Increases maximum HP."
52,1,243052,113,"pair of mythril gloves",0,"pairs of mythril gloves",0,0,1,0,0,"Mythril Gloves","Damage Taken -5%
Physical Damage Dealt +5%
Maximum HP +5%","Reduces damage taken. Increases physical damage dealt and maximum HP."
53,1,243053,85,"pair of mythril greaves",0,"pairs of mythril greaves",0,0,1,0,0,"Mythril Greaves","Damage Taken -10%
Maximum HP +5%","Reduces damage taken. Increases maximum HP."
54,1,243054,126,"beast mask",0,"beast masks",0,0,1,0,0,"Beast Mask","Physical Vulnerability -10%
Critical Hit Rate +15%","Reduces physical damage taken. Increases critical hit rate."
55,1,243055,87,"beastly knife",0,"beastly knives",0,0,1,0,0,"Beastly Knife","Critical Hit Rate +8%
25% chance to grant one stack of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Damage Up<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon landing a critical hit.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Damage Up Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases damage dealt by 3%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 30s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Maximum Stacks:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 8","Increases critical hit rate. May increase damage dealt upon critical hit."
56,1,243056,84,"beast earring",0,"beast earrings",0,0,1,0,0,"Beast Earring","Critical Hit Rate +15%
Maximum HP +2%","Increases critical hit rate and maximum HP."
57,1,243057,200,"thief's knife",0,"thief's knives",0,0,1,0,0,"Thief's Knife","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Haste<UIGlow>01</UIGlow><UIForeground>01</UIForeground> +1%
Grants two items on treasure spaces.","Grants Haste and two items on treasure spaces."
58,1,243058,172,"set of thief's garb",0,"sets of thief's garb",0,0,1,0,0,"Thief's Garb","Loot Drop Rate +80%
Damage Taken -8%
Maximum HP +18%","Increases loot drop rate and maximum HP. Reduces damage taken."
59,1,243059,50,"pair of thief's gloves",0,"pairs of thief's gloves",0,0,1,0,0,"Thief's Gloves","Loot Drop Rate +70%
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Haste<UIGlow>01</UIGlow><UIForeground>01</UIForeground> +2%","Increases loot drop rate. Grants Haste."
60,1,243060,30,"pair of thief's boots",0,"pairs of thief's boots",0,0,1,0,0,"Thief's Boots","Loot Drop Rate +40%
Evasion +2%","Increases loot drop rate and evasion."
61,1,243061,315,"thunder axe",0,"thunder axes",0,0,1,0,0,"Thunder Axe","Damage Dealt +30%
5% chance to inflict <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Stun<UIGlow>01</UIGlow><UIForeground>01</UIForeground> on self upon suffering damage.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 3s","Increases damage dealt. May inflict Stun on self upon suffering damage."
62,1,243062,161,"suit of thunder armor",0,"suits of thunder armor",0,0,1,0,0,"Thunder Armor","30% chance to absorb lightning damage as HP.
5% chance of granting one stack of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>High Wire<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon landing a critical hit.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>High Wire Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases damage dealt by 10% and reduces damage taken by 5%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 180s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Maximum Stacks:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 4","May absorb lightning damage. May grant High Wire upon critical hit."
63,1,243063,84,"warded shield",0,"warded shields",0,0,1,0,0,"Warded Shield","Grants one stack of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Magic Vulnerability Down<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon blocking with shield.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Magic Vulnerability Down Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Reduces magic damage taken by 5%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 60s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Maximum Stacks:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 8","Reduces magic damage taken upon shield block."
64,1,243064,113,"gold hairpin",0,"gold hairpins",0,0,1,0,0,"Gold Hairpin","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rapid Recast<UIGlow>01</UIGlow><UIForeground>01</UIForeground> +10%
25% chance to recover TP upon completing a combo with a beastmaster instinctual skill.","Grants Rapid Recast. May recover TP upon familiar combo."
65,1,243065,262,"flame knife",0,"flame knives",0,0,1,0,0,"Flame Knife","Damage Dealt +25%
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Haste<UIGlow>01</UIGlow><UIForeground>01</UIForeground> +5%
10% chance to inflict <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Chains of Condemnation<UIGlow>01</UIGlow><UIForeground>01</UIForeground> on self upon landing a critical hit.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Chains of Condemnation Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Suffers magic damage upon moving
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 9s","Increases damage dealt. Grants Haste. May inflict Chains of Condemnation on self upon critical hit."
66,1,243066,116,"flame shield",0,"flame shields",0,0,1,0,0,"Flame Shield","Block Strength +50%
Damage Dealt +3%
30% chance to absorb fire damage as HP.","Increases block strength and damage dealt. May absorb fire damage."
67,1,243067,24,"merchant's cap",0,"merchant's caps",0,0,1,0,0,"Merchant's Cap","Territory Tokens Earned +25%
Critical Hit Rate -10%
Damage Dealt +5%","Increases territory tokens earned and damage dealt. Reduces critical hit rate."
68,1,243068,52,"set of merchant's garb",0,"sets of merchant's garb",0,0,1,0,0,"Merchant's Garb","Territory Tokens Earned +25%
Physical Vulnerability -10%","Increases territory tokens earned. Reduces physical damage taken."
69,1,243069,101,"pair of merchant's shoes",0,"pairs of merchant's shoes",0,0,1,0,0,"Merchant's Shoes","Territory Tokens Earned +25%
Evasion +4%
Maximum HP +12%","Increases territory tokens earned, evasion, and maximum HP."
70,1,243070,113,"spirited ring",0,"spirited rings",0,0,1,0,0,"Spirited Ring","Maximum HP +3%
TP Accumulation +25%","Increases TP accumulation and maximum HP."
71,1,243071,264,"demonic helm",0,"demonic helms",0,0,1,0,0,"Demonic Helm","Damage Dealt +20%
TP Accumulation +20%
1% chance to inflict <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Doom<UIGlow>01</UIGlow><UIForeground>01</UIForeground> on self upon suffering damage.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 2s","Increases damage dealt and TP accumulation. May inflict Doom on self upon suffering damage."
72,1,243072,170,"suit of demonic armor",0,"suits of demonic armor",0,0,1,0,0,"Demonic Armor","Maximum HP +5%
TP Accumulation +5%
Grants one stack of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>High Wire<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon defeating an enemy.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>High Wire Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increases damage dealt by 10% and reduces damage taken by 5%
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 180s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Maximum Stacks:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 4","Increases maximum HP and TP accumulation. Grants High Wire upon defeating enemies."
73,1,243073,129,"empress hairpin",0,"empress hairpins",0,1,1,0,0,"Empress Hairpin","Evasion +10%
Maximum HP -8%
2% chance to grant one stack of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rehabilitation<UIGlow>01</UIGlow><UIForeground>01</UIForeground> upon landing a critical hit.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Rehabilitation Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Restores 3% of maximum HP at regular intervals
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 12s
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Maximum Stacks:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 8","Increases evasion. Reduces maximum HP. May recover HP upon critical hit."
74,1,243074,76,"haste belt",0,"haste belts",0,0,1,0,0,"Haste Belt","<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Haste<UIGlow>01</UIGlow><UIForeground>01</UIForeground> +6%","Grants Haste."
75,1,243075,64,"warrior's buckler",0,"warrior's bucklers",0,0,1,0,0,"Warrior's Buckler","Block Strength +100%
Physical Vulnerability -5%
Maximum HP +2%","Increases block strength and maximum HP. Reduces physical damage taken."
76,2,243136,32,"G1 beast potion",0,"G1 beast potions",0,0,1,0,0,"G1 Beast Potion","Restores 10% of HP to self or familiar.",""
77,2,243137,72,"G2 beast potion",0,"G2 beast potions",0,0,1,0,0,"G2 Beast Potion","Restores 23% of HP to self or familiar.",""
78,2,243138,113,"G3 beast potion",0,"G3 beast potions",0,0,1,0,0,"G3 Beast Potion","Restores 36% of HP to self or familiar.",""
79,2,243139,158,"G4 beast potion",0,"G4 beast potions",0,0,1,0,0,"G4 Beast Potion","Restores 50% of HP to self or familiar.",""
80,2,243140,63,"pinch of G1 crucible ash",0,"pinches of G1 crucible ash",0,0,1,0,0,"G1 Crucible Ash","Restores 10% of HP to self and nearby allies.",""
81,2,243141,158,"pinch of G2 crucible ash",0,"pinches of G2 crucible ash",0,0,1,0,0,"G2 Crucible Ash","Restores 25% of HP to self and nearby allies.",""
82,2,243142,252,"pinch of G3 crucible ash",0,"pinches of G3 crucible ash",0,0,1,0,0,"G3 Crucible Ash","Restores 40% of HP to self and nearby allies.",""
83,2,243143,32,"bottle of crucible antidote",0,"bottles of crucible antidote",0,0,1,0,0,"Crucible Antidote","Instantly cures most instances of poison for self or familiar, restoring 25% of maximum HP upon success.
※Can only be used on Crucible battlegrounds.",""
84,2,243144,32,"crucible needle",0,"crucible needles",0,0,1,0,0,"Crucible Needle","Instantly cures most instances of petrification for familiar, restoring 50% of maximum HP upon success. Additionally grants <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Stoneskin<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Stoneskin Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Absorbs damage totaling 50% of maximum HP
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 60s
※Can only be used on Crucible battlegrounds.",""
