key,0,1,2
34,86921,"Step Two: Complete the Intentional Combo","Order your Cu Sith to perform its <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Trick<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Then, <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>within seven seconds<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, execute the beastmaster action <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Mistral Axe<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. This will complete a <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> intentional combo!

You may complete intentional combos with any familiar, and may trigger a different action depending upon the skills used."
35,86924,"Instinctual Affinities","The four basic instinctual affinities are as follows: <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Volant<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rampant<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durant<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, and <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Eldritch<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Both beastmaster and familiar skills possess these affinities, and understanding the impact they have on one another is crucial to advanced beastmastery. Instinctual affinities can be confirmed in a weaponskill's help text, or may be intuited from the icon.

When instinctual affinities are connected in a certain order, they complete the aforementioned <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>intentional combos<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, which in turn have two additional instinctual affinities: <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> and <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Sunstrider<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
36,86922,"Moonstalker","Gaining the effect of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> requires chaining the following instinctual affinities:
　・<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rampant<UIGlow>01</UIGlow><UIForeground>01</UIForeground> → <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durant<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　・<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Eldritch<UIGlow>01</UIGlow><UIForeground>01</UIForeground> → <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Volant<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Your Cu Sith's <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Trick<UIGlow>01</UIGlow><UIForeground>01</UIForeground> has a <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rampant<UIGlow>01</UIGlow><UIForeground>01</UIForeground> affinity, so when completed with <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Mistral Axe<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, it triggers a <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> intentional combo."
37,86923,"Sunstrider","Gaining the effect of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Sunstrider<UIGlow>01</UIGlow><UIForeground>01</UIForeground> requires chaining the following instinctual affinities:
　・<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Volant<UIGlow>01</UIGlow><UIForeground>01</UIForeground> → <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rampant<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
　・<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durant<UIGlow>01</UIGlow><UIForeground>01</UIForeground> → <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Eldritch<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
So long as instinctual affinities are performed in the designated order, it does not matter whether a beastmaster or familiar strikes first. In this case, since your Cu Sith's <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Trick<UIGlow>01</UIGlow><UIForeground>01</UIForeground> has a <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rampant<UIGlow>01</UIGlow><UIForeground>01</UIForeground> affinity, preceding it with the beastmaster action <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Gale Axe<UIGlow>01</UIGlow><UIForeground>01</UIForeground> will complete a <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Sunstrider<UIGlow>01</UIGlow><UIForeground>01</UIForeground> intentional combo."
38,86925,"Step One: Accumulate Stacks of Mastered Instinct","To perfect your synchronicity with your familiars, first try to complete an infinitive combo with your Cu Sith.

Spending three stacks of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Mastered Instinct<UIGlow>01</UIGlow><UIForeground>01</UIForeground> when executing <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Rally<UIGlow>01</UIGlow><UIForeground>01</UIForeground> will instantly grant you 250 TP. You will need this later, so first accumulate three stacks of Mastered Instinct by completing instinctual or intentional combos with beastmaster skills. <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Your Cu Sith must attack first to accumulate stacks of Mastered Instinct.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
39,86921,"Step Two: Complete a <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Intentional Combo","With three stacks of Mastered Instinct on hand, it's time for an intentional combo.

Order your Cu Sith to perform its <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Trick<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, then execute the beastmaster action <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Mistral Axe<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to complete a <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> intentional combo.

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>From this point, you will have seven seconds to complete the infinitive combo.<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Move with haste!"
40,86926,"Step Three: Use Rally to Accumulate 250 TP","Execute <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Rally<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to spend all three stacks of Mastered Instinct and instantly gain 250 TP. Reaching 250 TP will change your four instinctual skills to those with affinities of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Sunstrider<UIGlow>01</UIGlow><UIForeground>01</UIForeground> or <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
41,86927,"Step Four: Complete the Infinitive Combo (Universality)","Since you gained the effect of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> in step two, you must execute either <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Brutal Rage<UIGlow>01</UIGlow><UIForeground>01</UIForeground> or <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Risen Fall<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, as both weaponskills have a <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Sunstrider<UIGlow>01</UIGlow><UIForeground>01</UIForeground> affinity. <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>An applicable action must be executed within seven seconds of completing the previous intentional combo.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

In other words, chaining the instinctual affinities <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> and <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Sunstrider<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (or vice versa) will complete a <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Universality<UIGlow>01</UIGlow><UIForeground>01</UIForeground> infinitive combo!"
42,86927,"To Summarize...","1. Accumulate three stacks of <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Mastered Instinct<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
2. Complete a <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> intentional combo.
3. Use <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Rally<UIGlow>01</UIGlow><UIForeground>01</UIForeground> to gain 250 TP, thereby changing your beastmaster instinctual skills.
4. Execute an instinctual skill with a <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Sunstrider<UIGlow>01</UIGlow><UIForeground>01</UIForeground> affinity.

You may complete infinitive combos with any familiar and initiate with either <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> or <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Sunstrider<UIGlow>01</UIGlow><UIForeground>01</UIForeground> affinities. In other words, illuminating your entire Inner Compass will achieve <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Universality<UIGlow>01</UIGlow><UIForeground>01</UIForeground>."
43,86927,"Mastering Beastmastery","Infinitive combos are considered the pinnacle of cooperation between beastmaster and familiar, as they unleash the potential of both <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Sunstrider<UIGlow>01</UIGlow><UIForeground>01</UIForeground> and <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Moonstalker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> affinities.

The infinitive combo <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Universality<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is the most potent attack in a beastmaster's arsenal, so advanced practitioners are encouraged to bring this power to bear when facing challenging foes."
