key,0,1,2,3,4
30,"Bream Team: Rhotano Sea","Requirement: As a party, catch 8 or more different fish in the Rhotano Sea. (Target number adjusted for party size.)",110,65910,24
31,"Bream Team: Cieldalaes","Requirement: As a party, catch 10 or more different fish in the Cieldalaes.",110,65920,16
32,"Bream Team: Cieldalaes","Requirement: As a party, catch 9 or more different fish in the Cieldalaes. (Target number adjusted for party size.)",110,65920,17
33,"Bream Team: Cieldalaes","Requirement: As a party, catch 8 or more different fish in the Cieldalaes. (Target number adjusted for party size.)",110,65920,18
34,"Bream Team: Bloodbrine Sea","Requirement: As a party, catch 10 or more different fish in the Bloodbrine Sea.",110,65921,25
35,"Bream Team: Bloodbrine Sea","Requirement: As a party, catch 9 or more different fish in the Bloodbrine Sea. (Target number adjusted for party size.)",110,65921,26
36,"Bream Team: Bloodbrine Sea","Requirement: As a party, catch 8 or more different fish in the Bloodbrine Sea. (Target number adjusted for party size.)",110,65921,27
37,"Bream Team: Rothlyt Sound","Requirement: As a party, catch 10 or more different fish in Rothlyt Sound.",110,65922,28
38,"Bream Team: Rothlyt Sound","Requirement: As a party, catch 9 or more different fish in Rothlyt Sound. (Target number adjusted for party size.)",110,65922,29
39,"Bream Team: Rothlyt Sound","Requirement: As a party, catch 8 or more different fish in Rothlyt Sound. (Target number adjusted for party size.)",110,65922,30
40,"Maximum Mussel","Requirement: As a party, catch 350 or more shellfish.",130,65930,55
41,"Squid Squadron","Requirement: As a party, catch 400 or more squid.",130,65931,56
42,"Shrimp Smorgasbord","Requirement: As an individual, catch 50 or more shrimp.",120,65932,57
43,"Bream Team: Sirensong Sea","Requirement: As a party, catch 10 or more different fish in the Sirensong Sea.",110,65926,43
44,"Bream Team: Sirensong Sea","Requirement: As a party, catch 9 or more different fish in the Sirensong Sea. (Target number adjusted for party size.)",110,65926,44
45,"Bream Team: Sirensong Sea","Requirement: As a party, catch 8 or more different fish in the Sirensong Sea. (Target number adjusted for party size.)",110,65926,45
46,"Bream Team: Kugane Coast","Requirement: As a party, catch 10 or more different fish at the Kugane coast.",110,65927,46
47,"Bream Team: Kugane Coast","Requirement: As a party, catch 9 or more different fish at the Kugane coast. (Target number adjusted for party size.)",110,65927,47
48,"Bream Team: Kugane Coast","Requirement: As a party, catch 8 or more different fish at the Kugane coast. (Target number adjusted for party size.)",110,65927,48
49,"Bream Team: Ruby Price","Requirement: As a party, catch 10 or more different fish in the Ruby Price.",110,65928,49
50,"Bream Team: Ruby Price","Requirement: As a party, catch 9 or more different fish in the Ruby Price. (Target number adjusted for party size.)",110,65928,50
51,"Bream Team: Ruby Price","Requirement: As a party, catch 8 or more different fish in the Ruby Price. (Target number adjusted for party size.)",110,65928,51
52,"Bream Team: Lower One River","Requirement: As a party, catch 10 or more different fish in the lower One River.",110,65929,52
53,"Bream Team: Lower One River","Requirement: As a party, catch 9 or more different fish in the lower One River. (Target number adjusted for party size.)",110,65929,53
54,"Bream Team: Lower One River","Requirement: As a party, catch 8 or more different fish in the lower One River. (Target number adjusted for party size.)",110,65929,54
55,"Prehistoric Professionals","Requirement: As a party, catch 300 or more prehistoric wavekin.",130,65933,61
56,"Time Waits for No Mantis","Requirement: As an individual, catch 45 or more mantis shrimp.",120,65934,62
57,"Bream Team: Unnamed Island","Requirement: As a party, catch 10 or more different fish off the coast of the unnamed island.",110,65935,40
58,"Bream Team: Unnamed Island","Requirement: As a party, catch 9 or more different fish off the coast of the unnamed island. (Target number adjusted for party size.)",110,65935,41
59,"Bream Team: Unnamed Island","Requirement: As a party, catch 8 or more different fish off the coast of the unnamed island. (Target number adjusted for party size.)",110,65935,42
60,"Bream Team: Thavnairian Coast","Requirement: As a party, catch 10 or more different fish off the Thavnairian coast.",110,65936,58
61,"Bream Team: Thavnairian Coast","Requirement: As a party, catch 9 or more different fish off the Thavnairian coast. (Target number adjusted for party size.)",110,65936,59
62,"Bream Team: Thavnairian Coast","Requirement: As a party, catch 8 or more different fish off the Thavnairian coast. (Target number adjusted for party size.)",110,65936,60
