key,0,1,2,3,4
91,655,"A Well-Balanced Diet","",91,345
92,657,"The Penultimate Prank","",92,345
93,658,"The Search for Sicksa","",93,345
94,659,"The Ultimate Prank","",94,345
95,661,"Say It with Wolf Tails","",95,345
96,662,"Embarrassing Excerpts","",96,345
97,663,"A Forbidden Love","",97,345
98,664,"Last Respects","",98,345
99,665,"Stone Deaf","",99,345
100,666,"Hunting the Hunters","",100,345
101,667,"To Deskunk a Beer","",101,345
102,668,"Losing One's Thread","",102,345
103,673,"Seeing the Seers","",103,345
104,674,"A Knock in the Night","",104,345
105,675,"Sleepless in Eorzea","",105,345
106,676,"Dressed to Be Killed","",106,345
107,678,"The Customer Comes First","",107,345
108,679,"An Inconvenient Dodo","",108,345
109,680,"Besmitten and Besmirched","",109,345
110,681,"Clasping to Hope","",110,345
111,682,"Traumaturgy","",111,345
112,683,"Best Flower Ever","",112,345
113,684,"The Unheard Horizon","",113,345
114,685,"Freedom Isn't Free","",114,345
115,686,"Ore for an Ore","",115,345
116,689,"No Other Dodo Will Do","",116,345
117,694,"A Call to Arms","",117,345
118,705,"Counting Sheep","",118,345
119,706,"A Hypocritical Oath","",119,345
120,707,"Blood Price","",120,345
121,725,"Quid Pro Quo","",121,345
122,726,"There Might Be Blood","",122,345
123,727,"Cutthroat Prices","",123,345
124,733,"Monster of Maw Most Massive","",124,345
125,734,"Scrubbing the Soul","",125,345
126,735,"Disorganized Crime","",126,345
127,736,"A Slippery Stone","",127,345
128,743,"Winds of Change","",128,345
129,744,"Shot Through the Heart","",129,345
130,745,"What a Pirate Wants","",130,345
131,752,"Of Archons and Muses","",131,345
132,753,"Sanguine Studies","",132,345
133,754,"Secrets Unearthed","",133,345
134,755,"Rustproof","",134,345
135,761,"In the Name of Science","",135,345
136,762,"Hearing Confession","",136,345
137,763,"A Bitter Oil to Swallow","",137,345
138,764,"Spores on the Brain","",138,345
139,770,"Trading Tongueflaps","",139,345
140,771,"Letting Out Orion's Belt","",140,345
141,772,"Sour Grapes","",141,345
142,773,"Sniffing Out a Profit","",142,345
143,788,"The Dreamer's Gospel (Ul'dah)","",143,345
144,789,"The Dreamer's Dilemma (Ul'dah)","",144,345
145,793,"The Dreamer's Gospel (Gridania)","",145,345
146,794,"The Dreamer's Dilemma (Gridania)","",146,345
147,798,"The Heat Is On","",147,345
148,799,"Impish Impositions","",148,345
149,800,"Winter Is Not Coming","",149,345
150,801,"Gone with the Snow","",150,345
151,803,"The Dreamer's Gospel (Limsa Lominsa)","",151,345
152,804,"The Dreamer's Dilemma (Limsa Lominsa)","",152,345
153,808,"Guild Tasks","",153,345
154,809,"Call of Booty","",154,345
155,810,"Risky Business","",155,345
156,811,"Forging the Spirit","",156,345
157,812,"Joining the Spirit","",157,345
158,813,"Waking the Spirit","",158,345
159,815,"A Feast of Fools","",159,345
160,816,"Provisioning & Supply Missions","",160,345
161,817,"A Light in the Dark","",161,345
162,818,"What Glitters Always Isn't Gold","",162,345
163,820,"the Thousand Maws of Toto--Rak","",163,345
164,821,"Dzemael Darkhold","",164,345
165,822,"Aurum Vale","",165,345
166,823,"Cutter's Cry","",166,345
167,827,"Waste Not Want Not","",167,345
168,828,"In Plain Sight","",168,345
169,837,"The Ink Thief","",169,345
170,838,"Private Eyes","",170,345
171,839,"Mysteries of the Red Moon","",171,345
172,840,"Prophecy Inspection","",172,345
173,847,"Ring of Deceit","",173,345
174,848,"The Usual Suspect","",174,345
175,857,"Seasonal Event","",175,345
176,858,"Scrambled Eggs","",176,345
177,859,"Bombard Backlash","",177,345
178,860,"Seasonal Event (All City-states)","",178,345
179,861,"Hamlet Defense","",179,345
180,862,"Class is in Session","",180,345
181,866,"Taming the Tempest","",181,345
182,867,"A Relic Reborn","",182,345
183,868,"Living on a Prayer","",183,345
184,869,"The Raven, Nevermore","",184,345
185,1200,"Pride and Duty (Will Take You from the Mountain)","",254,347
186,1201,"Embracing the Beast","",255,347
187,1202,"Curious Gorge Goes to the Bazaar","",256,347
188,1203,"Looking the Part","",257,347
189,1204,"Proof is in the Pudding","",258,347
190,1205,"How to Quit You","",259,347
191,1220,"Brother from Another Mother","",260,347
192,1221,"Insulted Intelligence","",261,347
193,1222,"The Pursuit of Power","",262,347
194,1223,"Good Vibrations","",263,347
195,1224,"Five Easy Pieces","",264,347
196,1225,"Return of the King...of Ruin","",265,347
197,1240,"Seeds of Initiative","",266,347
198,1241,"When Sheep Attack","",267,347
199,1242,"Lost in Rage","",268,347
200,1243,"The Wheel of Disaster","",269,347
201,1244,"In Search of Succor","",270,347
202,1245,"The Chorus of Cataclysm","",271,347
203,1260,"Hearing Voices","",272,347
204,1261,"A Time to Kill","",273,347
205,1262,"International Relations","",274,347
206,1263,"The Voidgate Breathes Gloomy","",275,347
207,1264,"Gearing Up","",276,347
208,1265,"Always Bet on Black","",277,347
209,1280,"Paladin's Pledge","",278,347
210,1281,"Honor Lost","",279,347
211,1282,"Power Struggles","",280,347
212,1283,"Poisoned Hearts","",281,347
213,1284,"Parley on High Ground","",282,347
214,1285,"Keeping the Oath","",283,347
215,1300,"A Song of Bards and Bowmen","",284,347
216,1301,"The Archer's Anthem","",285,347
217,1302,"Bard's-Eye View","",286,347
218,1303,"Doing It the Bard Way","",287,347
219,1304,"Pieces of the Past","",288,347
220,1305,"Requiem for the Fallen","",289,347
221,1320,"Eye of the Dragon","",290,347
222,1321,"Lance of Fury","",291,347
223,1322,"Unfading Scars","",292,347
224,1323,"Double Dragoon","",293,347
225,1324,"Fatal Seduction","",294,347
226,1325,"Into the Dragon's Maw","",295,347
227,1400,"The Price of Integrity","",185,348
228,1401,"Testing the Waters","",186,348
229,1402,"Seals for the Whorl","",187,348
230,1403,"Engineering Victory","",188,348
231,1404,"An Officer and a Wise Man","",189,348
232,1405,"Ceruleum Shock","",190,348
233,1406,"Till Sea Swallows All","",191,348
234,1409,"Imperial Devices (Limsa Lominsa)","",192,348
235,1410,"Into the Dark (Limsa Lominsa)","",193,348
236,1415,"It Kills with Fire (Limsa Lominsa)","",194,348
237,1416,"The Cove","",195,348
238,1417,"Saving the Stead Instead","",196,348
239,1418,"It's a Piece of Cake to Bake a Poison Cake","",197,348
240,1419,"Kobold and the Beautiful","",198,348
241,1425,"Oil Crisis","",199,348
242,1426,"Alive","",200,348
243,1427,"The Weakest Link","",201,348
244,1428,"Deus ex Machina","",202,348
245,1429,"In for Garuda Wakening (Limsa Lominsa)","",203,348
246,1430,"Don't Hate the Messenger (Limsa Lominsa)","",204,348
247,1431,"United We Stand (Limsa Lominsa)","",205,348
248,1432,"To Kill a Raven (Limsa Lominsa)","",206,348
249,1433,"Patrol, Interrupted","",207,348
250,1600,"Breaking the Seals","",208,348
251,1601,"Why Did It Have to Be Snakes","",209,348
252,1602,"Adders' Nest Egg","",210,348
253,1603,"The Mail Must Get Through","",211,348
254,1604,"Their Finest Hour","",212,348
255,1605,"Appetite for Destruction","",213,348
256,1606,"Serenity, Purity, Sanctity","",214,348
257,1609,"Imperial Devices (Gridania)","",215,348
258,1610,"Into the Dark (Gridania)","",216,348
259,1615,"It Kills with Fire (Gridania)","",217,348
260,1616,"Eternal Recurrence","",218,348
261,1617,"The Pen Is Mightier than the Spear","",219,348
262,1618,"Woes of the Botanist","",220,348
263,1619,"Gone with the Wind","",221,348
264,1625,"A Taste for Death","",222,348
265,1626,"Two Vans are Better than One","",223,348
266,1627,"You Don't Have the Rite","",224,348
267,1628,"Shadow of the Raven","",225,348
268,1629,"In for Garuda Wakening (Gridania)","",226,348
269,1630,"Don't Hate the Messenger (Gridania)","",227,348
270,1631,"United We Stand (Gridania)","",228,348
271,1632,"To Kill a Raven (Gridania)","",229,348
272,1633,"Cure for the Common Pox","",230,348
273,1800,"Career Opportunities","",231,348
274,1801,"Kindling a Flame","",232,348
275,1802,"Burning a Hole in One's Pocket","",233,348
276,1803,"Arms Race","",234,348
277,1804,"Burning Man","",235,348
278,1805,"Know Your Enemy","",236,348
279,1806,"By Fire Reborn","",237,348
280,1809,"Imperial Devices (Ul'dah)","",238,348
281,1810,"Into the Dark (Ul'dah)","",239,348
282,1815,"It Kills with Fire (Ul'dah)","",240,348
283,1816,"Prying Eyes","",241,348
284,1817,"Different Strokes","",242,348
285,1818,"A Weaver and a Mummer","",243,348
286,1819,"When Alchemists Cry","",244,348
287,1825,"Challenge Accepted","",245,348
288,1826,"Like Father, Like Son","",246,348
289,1827,"Gore a Lizard, Hurry","",247,348
290,1828,"Careless Whispers","",248,348
291,1829,"In for Garuda Wakening (Ul'dah)","",249,348
292,1830,"Don't Hate the Messenger (Ul'dah)","",250,348
293,1831,"United We Stand (Ul'dah)","",251,348
294,1832,"To Kill a Raven (Ul'dah)","",252,348
295,1833,"Mess with the Goat, Get the Horns","",253,348
