key,0,1,2,3,4,5
37,"Complete three unique class D missions for leatherworker on the moon.",2,3,19,50,40
38,"Complete four unique class C missions for leatherworker on the moon.",2,4,19,100,41
39,"Achieve a Gold Star rating on three unique class B missions for leatherworker on the moon.",2,3,19,200,42
40,"Complete three unique class D missions for weaver on the moon.",2,3,23,50,43
41,"Complete four unique class C missions for weaver on the moon.",2,4,23,100,44
42,"Achieve a Gold Star rating on three unique class B missions for weaver on the moon.",2,3,23,200,45
43,"Complete three unique class D missions for alchemist on the moon.",2,3,27,50,46
44,"Complete four unique class C missions for alchemist on the moon.",2,4,27,100,47
45,"Achieve a Gold Star rating on three unique class B missions for alchemist on the moon.",2,3,27,200,48
46,"Complete three unique class D missions for culinarian on the moon.",2,3,31,50,49
47,"Complete four unique class C missions for culinarian on the moon.",2,4,31,100,50
48,"Achieve a Gold Star rating on three unique class B missions for culinarian on the moon.",2,3,31,200,51
49,"Complete three unique class D missions for botanist on the moon.",2,3,39,50,55
50,"Complete four unique class C missions for botanist on the moon.",2,4,39,100,56
51,"Achieve a Gold Star rating on three unique class B missions for botanist on the moon.",2,3,39,200,57
52,"Complete three unique class D missions for miner on the moon.",2,3,35,50,52
53,"Complete four unique class C missions for miner on the moon.",2,4,35,100,53
54,"Achieve a Gold Star rating on three unique class B missions for miner on the moon.",2,3,35,200,54
55,"Complete three unique class D missions for fisher on the moon.",2,3,43,50,58
56,"Complete four unique class C missions for fisher on the moon.",2,4,43,100,59
57,"Achieve a Gold Star rating on three unique class B missions for fisher on the moon.",2,3,43,200,60
58,"Draw 5 cosmic fortunes on the moon.",2,5,1,300,61
59,"Draw 30 cosmic fortunes on the moon.",2,30,1,600,62
60,"Draw 100 cosmic fortunes on the moon.",2,100,1,900,63
61,"Complete 5 unique critical missions on the moon.",2,5,2,1000,19
62,"Complete 15 unique critical missions on the moon.",2,15,2,2000,20
63,"Complete 33 unique critical missions on the moon.",2,33,2,3000,21
64,"Complete 10 stellar missions on Phaenna.",2,10,1,500,6
65,"Complete 50 stellar missions on Phaenna.",2,50,1,800,7
66,"Complete 100 stellar missions on Phaenna.",2,100,1,1600,8
67,"Complete 500 stellar missions on Phaenna.",2,500,1,2500,9
68,"Complete 10 unique stellar missions on Phaenna.",2,10,1,500,10
69,"Complete 50 unique stellar missions on Phaenna.",2,50,1,1500,11
70,"Complete 100 unique stellar missions on Phaenna.",2,100,1,4000,12
71,"Complete 10 unique stellar missions on Phaenna with a Gold Star rating.",2,10,1,500,13
72,"Complete 50 unique stellar missions on Phaenna with a Gold Star rating.",2,50,1,1500,14
73,"Complete 100 unique stellar missions on Phaenna with a Gold Star rating.",2,100,1,4000,15
74,"Complete 1 critical mission on Phaenna.",2,1,47,500,16
75,"Complete 10 critical missions on Phaenna.",2,10,47,1000,17
76,"Complete 30 critical missions on Phaenna.",2,30,47,3000,18
77,"Complete 1 mech op as a pilot on Phaenna.",2,1,1,1500,22
78,"Complete 5 mech ops as a pilot on Phaenna.",2,5,1,3000,23
79,"Complete 10 mech ops as a pilot on Phaenna.",2,10,1,4500,24
80,"Complete 5 mech ops as a ground supporter on Phaenna.",2,5,1,300,25
81,"Complete 20 mech ops as a ground supporter on Phaenna.",2,20,1,900,26
82,"Complete 50 mech ops as a ground supporter on Phaenna.",2,50,1,2100,27
83,"Complete 5 unique carpenter missions on Phaenna.",2,5,3,75,28
84,"Complete 10 unique carpenter missions on Phaenna.",2,10,3,150,29
85,"Complete 15 unique carpenter missions on Phaenna.",2,15,3,300,30
86,"Complete 5 unique blacksmith missions on Phaenna.",2,5,7,75,31
87,"Complete 10 unique blacksmith missions on Phaenna.",2,10,7,150,32
88,"Complete 15 unique blacksmith missions on Phaenna.",2,15,7,300,33
89,"Complete 5 unique armorer missions on Phaenna.",2,5,11,75,34
90,"Complete 10 unique armorer missions on Phaenna.",2,10,11,150,35
91,"Complete 15 unique armorer missions on Phaenna.",2,15,11,300,36
92,"Complete 5 unique goldsmith missions on Phaenna.",2,5,15,75,37
93,"Complete 10 unique goldsmith missions on Phaenna.",2,10,15,150,38
94,"Complete 15 unique goldsmith missions on Phaenna.",2,15,15,300,39
95,"Complete 5 unique leatherworker missions on Phaenna.",2,5,19,75,40
96,"Complete 10 unique leatherworker missions on Phaenna.",2,10,19,150,41
97,"Complete 15 unique leatherworker missions on Phaenna.",2,15,19,300,42
98,"Complete 5 unique weaver missions on Phaenna.",2,5,23,75,43
99,"Complete 10 unique weaver missions on Phaenna.",2,10,23,150,44
100,"Complete 15 unique weaver missions on Phaenna.",2,15,23,300,45
101,"Complete 5 unique alchemist missions on Phaenna.",2,5,27,75,46
102,"Complete 10 unique alchemist missions on Phaenna.",2,10,27,150,47
103,"Complete 15 unique alchemist missions on Phaenna.",2,15,27,300,48
104,"Complete 5 unique culinarian missions on Phaenna.",2,5,31,75,49
105,"Complete 10 unique culinarian missions on Phaenna.",2,10,31,150,50
106,"Complete 15 unique culinarian missions on Phaenna.",2,15,31,300,51
107,"Complete 5 unique botanist missions on Phaenna.",2,5,39,75,55
108,"Complete 10 unique botanist missions on Phaenna.",2,10,39,150,56
109,"Complete 15 unique botanist missions on Phaenna.",2,15,39,300,57
110,"Complete 5 unique miner missions on Phaenna.",2,5,35,75,52
111,"Complete 10 unique miner missions on Phaenna.",2,10,35,150,53
112,"Complete 15 unique miner missions on Phaenna.",2,15,35,300,54
113,"Complete 5 unique fisher missions on Phaenna.",2,5,43,75,58
114,"Complete 10 unique fisher missions on Phaenna.",2,10,43,150,59
115,"Complete 15 unique fisher missions on Phaenna.",2,15,43,300,60
116,"Draw 5 cosmic fortunes on Phaenna.",2,5,1,500,61
117,"Draw 30 cosmic fortunes on Phaenna.",2,30,1,1000,62
118,"Draw 100 cosmic fortunes on Phaenna.",2,100,1,1500,63
119,"Complete 5 unique critical missions on Phaenna.",2,5,47,1000,19
120,"Complete 15 unique critical missions on Phaenna.",2,15,47,2000,20
121,"Complete 33 unique critical missions on Phaenna.",2,33,47,3000,21
122,"Complete 10 stellar missions on Oizys.",2,10,1,500,6
123,"Complete 50 stellar missions on Oizys.",2,50,1,800,7
124,"Complete 100 stellar missions on Oizys.",2,100,1,1600,8
125,"Complete 500 stellar missions on Oizys.",2,500,1,2500,9
126,"Complete 10 unique stellar missions on Oizys.",2,10,1,500,10
127,"Complete 50 unique stellar missions on Oizys.",2,50,1,1500,11
128,"Complete 100 unique stellar missions on Oizys.",2,100,1,4000,12
129,"Complete 10 unique stellar missions on Oizys with a Gold Star rating.",2,10,1,500,13
130,"Complete 50 unique stellar missions on Oizys with a Gold Star rating.",2,50,1,1500,14
131,"Complete 100 unique stellar missions on Oizys with a Gold Star rating.",2,100,1,4000,15
132,"Complete 1 critical mission on Oizys.",2,1,48,500,16
133,"Complete 10 critical missions on Oizys.",2,10,48,1000,17
134,"Complete 30 critical missions on Oizys.",2,30,48,3000,18
135,"Complete 1 mech op as a pilot on Oizys.",2,1,1,1500,22
136,"Complete 5 mech ops as a pilot on Oizys.",2,5,1,3000,23
137,"Complete 10 mech ops as a pilot on Oizys.",2,10,1,4500,24
138,"Complete 5 mech ops as a ground supporter on Oizys.",2,5,1,300,25
139,"Complete 20 mech ops as a ground supporter on Oizys.",2,20,1,900,26
140,"Complete 50 mech ops as a ground supporter on Oizys.",2,50,1,2100,27
141,"Complete 5 unique carpenter missions on Oizys.",2,5,3,75,28
142,"Complete 10 unique carpenter missions on Oizys.",2,10,3,150,29
143,"Complete 15 unique carpenter missions on Oizys.",2,15,3,300,30
144,"Complete 5 unique blacksmith missions on Oizys.",2,5,7,75,31
145,"Complete 10 unique blacksmith missions on Oizys.",2,10,7,150,32
146,"Complete 15 unique blacksmith missions on Oizys.",2,15,7,300,33
147,"Complete 5 unique armorer missions on Oizys.",2,5,11,75,34
148,"Complete 10 unique armorer missions on Oizys.",2,10,11,150,35
149,"Complete 15 unique armorer missions on Oizys.",2,15,11,300,36
150,"Complete 5 unique goldsmith missions on Oizys.",2,5,15,75,37
151,"Complete 10 unique goldsmith missions on Oizys.",2,10,15,150,38
152,"Complete 15 unique goldsmith missions on Oizys.",2,15,15,300,39
153,"Complete 5 unique leatherworker missions on Oizys.",2,5,19,75,40
154,"Complete 10 unique leatherworker missions on Oizys.",2,10,19,150,41
155,"Complete 15 unique leatherworker missions on Oizys.",2,15,19,300,42
156,"Complete 5 unique weaver missions on Oizys.",2,5,23,75,43
157,"Complete 10 unique weaver missions on Oizys.",2,10,23,150,44
158,"Complete 15 unique weaver missions on Oizys.",2,15,23,300,45
159,"Complete 5 unique alchemist missions on Oizys.",2,5,27,75,46
160,"Complete 10 unique alchemist missions on Oizys.",2,10,27,150,47
161,"Complete 15 unique alchemist missions on Oizys.",2,15,27,300,48
162,"Complete 5 unique culinarian missions on Oizys.",2,5,31,75,49
163,"Complete 10 unique culinarian missions on Oizys.",2,10,31,150,50
164,"Complete 15 unique culinarian missions on Oizys.",2,15,31,300,51
165,"Complete 5 unique botanist missions on Oizys.",2,5,39,75,55
166,"Complete 10 unique botanist missions on Oizys.",2,10,39,150,56
167,"Complete 15 unique botanist missions on Oizys.",2,15,39,300,57
168,"Complete 5 unique miner missions on Oizys.",2,5,35,75,52
169,"Complete 10 unique miner missions on Oizys.",2,10,35,150,53
170,"Complete 15 unique miner missions on Oizys.",2,15,35,300,54
171,"Complete 5 unique fisher missions on Oizys.",2,5,43,75,58
172,"Complete 10 unique fisher missions on Oizys.",2,10,43,150,59
173,"Complete 15 unique fisher missions on Oizys.",2,15,43,300,60
174,"Draw 5 cosmic fortunes on Oizys.",2,5,1,500,61
175,"Draw 30 cosmic fortunes on Oizys.",2,30,1,1000,62
176,"Draw 100 cosmic fortunes on Oizys.",2,100,1,1500,63
177,"Complete 5 unique critical missions on Oizys.",2,5,48,1000,19
178,"Complete 12 unique critical missions on Oizys.",2,12,48,2000,20
179,"Complete 22 unique critical missions on Oizys.",2,22,48,3000,21
180,"Complete 10 artifact searches on Oizys.",2,10,48,1000,64
181,"Complete 30 artifact searches on Oizys.",2,30,48,3000,65
182,"Complete 100 artifact searches on Oizys.",2,100,48,5000,66
183,"Complete 10 stellar missions on Auxesia.",2,10,1,500,6
184,"Complete 50 stellar missions on Auxesia.",2,50,1,800,7
185,"Complete 100 stellar missions on Auxesia.",2,100,1,1600,8
186,"Complete 500 stellar missions on Auxesia.",2,500,1,2500,9
187,"Complete 10 unique stellar missions on Auxesia.",2,10,1,500,10
188,"Complete 50 unique stellar missions on Auxesia.",2,50,1,1500,11
189,"Complete 100 unique stellar missions on Auxesia.",2,100,1,4000,12
190,"Complete 10 unique stellar missions on Auxesia with a Gold Star rating.",2,10,1,500,13
191,"Complete 50 unique stellar missions on Auxesia with a Gold Star rating.",2,50,1,1500,14
192,"Complete 100 unique stellar missions on Auxesia with a Gold Star rating.",2,100,1,4000,15
193,"Complete 1 critical mission on Auxesia.",2,1,49,500,16
194,"Complete 10 critical missions on Auxesia.",2,10,49,1000,17
195,"Complete 30 critical missions on Auxesia.",2,30,49,3000,18
196,"Complete 1 mech op as a pilot on Auxesia.",2,1,1,1500,22
197,"Complete 5 mech ops as a pilot on Auxesia.",2,5,1,3000,23
198,"Complete 10 mech ops as a pilot on Auxesia.",2,10,1,4500,24
199,"Complete 5 mech ops as a ground supporter on Auxesia.",2,5,1,300,25
200,"Complete 20 mech ops as a ground supporter on Auxesia.",2,20,1,900,26
201,"Complete 50 mech ops as a ground supporter on Auxesia.",2,50,1,2100,27
202,"Complete 5 unique carpenter missions on Auxesia.",2,5,3,75,28
203,"Complete 10 unique carpenter missions on Auxesia.",2,10,3,150,29
204,"Complete 15 unique carpenter missions on Auxesia.",2,15,3,300,30
205,"Complete 5 unique blacksmith missions on Auxesia.",2,5,7,75,31
206,"Complete 10 unique blacksmith missions on Auxesia.",2,10,7,150,32
207,"Complete 15 unique blacksmith missions on Auxesia.",2,15,7,300,33
208,"Complete 5 unique armorer missions on Auxesia.",2,5,11,75,34
209,"Complete 10 unique armorer missions on Auxesia.",2,10,11,150,35
210,"Complete 15 unique armorer missions on Auxesia.",2,15,11,300,36
211,"Complete 5 unique goldsmith missions on Auxesia.",2,5,15,75,37
212,"Complete 10 unique goldsmith missions on Auxesia.",2,10,15,150,38
213,"Complete 15 unique goldsmith missions on Auxesia.",2,15,15,300,39
214,"Complete 5 unique leatherworker missions on Auxesia.",2,5,19,75,40
215,"Complete 10 unique leatherworker missions on Auxesia.",2,10,19,150,41
216,"Complete 15 unique leatherworker missions on Auxesia.",2,15,19,300,42
217,"Complete 5 unique weaver missions on Auxesia.",2,5,23,75,43
218,"Complete 10 unique weaver missions on Auxesia.",2,10,23,150,44
219,"Complete 15 unique weaver missions on Auxesia.",2,15,23,300,45
220,"Complete 5 unique alchemist missions on Auxesia.",2,5,27,75,46
221,"Complete 10 unique alchemist missions on Auxesia.",2,10,27,150,47
222,"Complete 15 unique alchemist missions on Auxesia.",2,15,27,300,48
223,"Complete 5 unique culinarian missions on Auxesia.",2,5,31,75,49
224,"Complete 10 unique culinarian missions on Auxesia.",2,10,31,150,50
225,"Complete 15 unique culinarian missions on Auxesia.",2,15,31,300,51
226,"Complete 5 unique botanist missions on Auxesia.",2,5,39,75,55
227,"Complete 10 unique botanist missions on Auxesia.",2,10,39,150,56
228,"Complete 15 unique botanist missions on Auxesia.",2,15,39,300,57
229,"Complete 5 unique miner missions on Auxesia.",2,5,35,75,52
230,"Complete 10 unique miner missions on Auxesia.",2,10,35,150,53
231,"Complete 15 unique miner missions on Auxesia.",2,15,35,300,54
232,"Complete 5 unique fisher missions on Auxesia.",2,5,43,75,58
233,"Complete 10 unique fisher missions on Auxesia.",2,10,43,150,59
234,"Complete 15 unique fisher missions on Auxesia.",2,15,43,300,60
235,"Draw 5 cosmic fortunes on Auxesia.",2,5,1,500,61
236,"Draw 30 cosmic fortunes on Auxesia.",2,30,1,1000,62
237,"Draw 100 cosmic fortunes on Auxesia.",2,100,1,1500,63
238,"Complete 5 unique critical missions on Auxesia.",2,5,49,1000,19
239,"Complete 12 unique critical missions on Auxesia.",2,12,49,2000,20
240,"Complete 22 unique critical missions on Auxesia.",2,22,49,3000,21
241,"Complete 10 artifact searches on Auxesia.",2,10,49,1000,64
242,"Complete 30 artifact searches on Auxesia.",2,30,49,3000,65
243,"Complete 100 artifact searches on Auxesia.",2,100,49,5000,66
