key,0,1,2
48,2052,"Work will soon commence to the north of Terra Firma.
Contributors wanted!","Work is now underway to the north of Terra Firma!
Contributors wanted!"
49,2053,"Work will soon commence at Emerald Echoes.
Contributors wanted!","Work is now underway at Emerald Echoes! Contributors wanted!"
50,2054,"Work will soon commence at Emerald Echoes. Contributors wanted!","Work is now underway at Emerald Echoes! Contributors wanted!"
51,2055,"Work will soon commence at the ruins in Emerald Echoes. Contributors wanted!","Work is now underway at the ruins in Emerald Echoes! Contributors wanted!"
52,2056,"Work will soon commence at the ruins in Emerald Echoes.
Contributors wanted!","Work is now underway at the ruins in Emerald Echoes! Contributors wanted!"
53,0,"Work on the Cosmoliner in the ruins of Emerald Echoes is nearly finished. Access to the work site will be restricted upon completion.",""
54,2057,"Work will soon commence at Terra Firma.
Contributors wanted!","Work is now underway at Terra Firma! Contributors wanted!"
55,2058,"Work will soon commence on the roof of Terra Firma.
Contributors should take the elevator to the project site!","Work is now underway on the roof of Terra Firma!
Contributors should take the elevator to the project site!"
56,2085,"Work will soon commence to the northwest of the Timberlodge.
Contributors wanted!","Work is now underway to the northwest of the Timberlodge!
Contributors wanted!"
57,0,"Work on the Cosmoliner in the central city is nearly finished.
Access to the work site will be restricted upon completion.",""
58,2086,"Work will soon commence on the first of two joint projects.
Contributors should gather to the southwest of the Timberlodge!","Work is now underway to the southwest of the Timberlodge!
Contributors wanted!"
59,2087,"Work will soon commence on the second of two joint projects.
Contributors should gather to the southwest of the Timberlodge!","Work is now underway to the southwest of the Timberlodge!
Contributors wanted!"
60,2088,"Work will soon commence in the Netroot Radius.
Contributors wanted!","Work is now underway in the Netroot Radius!
Contributors wanted!"
61,2089,"Work will soon commence in the Timberlodge.
Contributors wanted!","Work is now underway in the Timberlodge!
Contributors wanted!"
62,2090,"Work will soon commence in Sylvan Stacks.
Contributors wanted!","Work is now underway in Sylvan Stacks!
Contributors wanted!"
63,2091,"Work will soon commence in Sylvan Stacks.
Contributors wanted!","Work is now underway in Sylvan Stacks!
Contributors wanted!"
64,0,"Work on the Cosmoliner in Sylvan Stacks is nearly finished.
Access to the work site will be restricted upon completion.",""
65,2092,"Work will soon commence in the eastern sector of the Timberlodge.
Contributors wanted!","Work is now underway in the eastern sector of the Timberlodge!
Contributors wanted!"
66,2093,"Work will soon commence in southwestern Pileus Pergola.
Contributors wanted!","Work is now underway in southwestern Pileus Pergola.
Contributors wanted!"
67,2094,"Work will soon commence in the Stratostone Stand.
Contributors wanted!","Work is now underway in the Stratostone Stand.
Contributors wanted!"
68,0,"Work on the Cosmoliner in the Stratostone Stand is nearly finished.
Access to the work site will be restricted upon completion.",""
69,2095,"Work will soon commence to the northeast of the Timberlodge.
Contributors wanted!","Work is now underway to the northeast of the Timberlodge!
Contributors wanted!"
70,2096,"Work will soon commence in the northeastern sector of the Core Shroud.
Contributors wanted!","Work is now underway in the northeastern sector of the Core Shroud.
Contributors wanted!"
71,2097,"Work will soon commence at the upper level of the Core Shroud.
Contributors wanted!","Work is now underway at the upper level of the Core Shroud.
Contributors wanted!"
