key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
8,55,2,27,1,242008,45187,1,54,"Diremites adhere to a distinct social hierarchy wherein eponymous soldier males protect a small cluster of females tasked with reproduction. The sticky web they produce can be released upon prey to both capture and preserve for future consumption.","Delivers a piercing physical attack that inflicts poison on enemy.","Deals unaspected damage that knocks back and binds enemies.",False,False,False,False,False,True,False,False,True,False,False,100,100,100,100,100
9,56,5,8,2,242009,49695,1,30,"Megalocrabs dwell most notably in the coastal regions of La Noscea and upon the riverbanks of the Velodyna and Hathoeva. Within their unyielding carapaces hides flesh of unparalleled flavor, and dishes stewed within these durable shells have gained particular renown.","Deals water-aspected damage.","Deals water-aspected damage and lowers water resistance of enemies.",False,False,False,False,False,False,False,False,False,False,False,97,97,97,97,97
10,57,2,37,1,242010,45187,1,43,"Native to Tural, wespes were introduced to Eorzea via trade ships. Once released into the realm, these large, swift-breeding vilekin soon began eradicating populations of their indigenous kin. Extermination of this intrusive species must be undertaken with care, as wespes are capable of expelling stingers loaded with deadly venom.","Delivers a piercing physical attack that inflicts poison on enemy.","Delivers a piercing physical attack on enemy. Familiar retreats upon execution.",False,False,False,False,False,True,False,False,False,False,False,97,97,97,97,97
11,58,3,5,2,242011,48646,1,42,"Vultures are ill-omened cloudkin that can be found in every corner of Eorzea. Their taste for carrion often casts them as symbols of impurity in myth and legend. Drawn by the anticipation of death, they are known to tail military contingents, earning the particular hatred of soldiers rattled by their presence.","Deals wind-aspected damage.","Deals wind-aspected damage and dispels one beneficial status from enemies.",False,False,False,False,False,False,False,False,False,False,False,100,100,91,91,91
12,59,4,36,2,242012,45188,1,30,"The enigmatic mandragora was first observed after the Seventh Umbral Calamity. This diminutive seedkin seems sentient and capable of advanced communication, and reports in recent years even suggest they actively collude with other vegetable species─though much about these creatures remains a mystery.","Delivers a blunt physical attack.","Deals unaspected damage and inflicts heaviness on enemies.",False,False,False,False,False,True,False,False,False,True,False,91,91,100,100,100
13,60,8,6,5,242013,49692,1,54,"A powerful spirit of the dead said to ride the evening brume in search of prey. A geshunpest bears two faces, atop its head and upon its belly, one of its many similarities with the haunt. As these ashkin frequent battlefields and graveyards, they are believed by many to be fear made manifest.","Deals lightning-aspected damage.","Grants HP absorption to allies.",False,False,False,False,False,False,False,False,False,False,False,100,100,100,100,100
14,61,6,47,2,242014,45187,1,30,"This small, winged scalekin can oft be seen flitting between trees on the hunt for insect prey. The puk is highly territorial and, due to a testy temperament, will launch itself at intruders many times its own size without hesitation. This fruitless attempt to assert dominance greatly influenced its naming by scornful Gridanians.","Deals fire-aspected damage.","Delivers a slashing physical attack that knocks back enemies.",False,False,False,False,False,False,False,False,False,False,False,100,88,91,100,100
15,62,5,12,2,242015,48648,1,42,"While abundant throughout the world, a snipper crab is rarely sold for culinary purposes due to the pungent aroma of its meat. Occasionally, these wavekin will not molt the protective vessels of their youth, wearing them as one might a helm upon reaching maturity.","Deals water-aspected damage.","Hastens self.",False,False,False,False,False,False,False,False,False,False,False,94,94,94,94,94
16,63,2,27,1,242016,45186,1,33,"Native to the isles of the southern seas, mantises were unintentionally brought to La Noscea upon Plainsfolk emigration. These giant vilekin have since preyed upon native species and unwitting adventurers alike, swiftly proliferating and securing an enduring presence on the mainland.","Delivers a slashing physical attack.","Deals unaspected damage that increases physical vulnerability of enemies.",False,False,False,False,False,False,False,False,False,False,False,94,94,94,94,94
17,64,8,40,5,242017,49689,2,3,"Slimes form when humours, recently voided from a corpse or other impure source, are imbued with earth aether. While most of these semi-arcane entities are birthed by circumstance, some are purposefully created by alchemists or conjurers for twisted ends.","Deals unaspected damage that generates beastmaster HP.","Deals unaspected damage that binds enemies.",False,False,False,False,False,False,False,False,True,False,False,97,1,97,97,97
18,65,7,15,2,242018,45186,2,7,"Considered a type of golem, a dullahan is a hulking suit of animated armor. While some believe they were created by mages of eld as implacable servants, others posit they once clad men whose souls now inhabit the empty shell. Yet another theory claims they are simply vessels for voidsent─any and all postulations may prove true.","Delivers a slashing physical attack.","Increases physical damage dealt by allies.",False,False,False,True,False,False,False,False,False,False,False,97,97,97,97,97
19,66,3,16,2,242019,49689,1,31,"These leathery-winged cloudkin make their homes in the dark recesses of caves and tree hollows, hanging dormant during the day and venturing forth in the hours of twilight. Bats are known to feed on insects, fruit, or even blood, and their feces have been long valued as fuel and fertilizer.","Deals unaspected damage that generates beastmaster HP.","Deals unaspected damage, reduces enemy accuracy, and removes a status ailment from allies.",False,False,False,False,True,False,False,False,False,False,False,94,94,94,94,94
20,67,4,16,2,242020,49697,1,54,"Flying traps assume the guise of vivid flowers to attract large insects in forests and grasslands. Once prey makes contact, they become stuck to the flying trap's leaves and subsequently impaled and drained by the roots. Fools who blithely use this seedkin as decoration are generally devoured by their houseplant.","Deals wind-aspected damage that knocks back and poisons enemies.","Deals unaspected damage and increases magic vulnerability of enemies.",False,False,False,False,False,True,False,False,False,False,False,100,97,97,97,97
21,68,6,5,2,242021,48644,1,33,"With its muscular legs and sharp talons, the ziz is capable of impressive bursts of speed. It is thought to be closely related to the raptor and thus classified as scalekin, capturing prey with internally generated venomous secretions. The color of the feathers it does bear changes according to diet.","Deals ice-aspected damage.","Deals unaspected damage that petrifies enemies.",False,True,False,False,False,False,False,False,False,False,False,97,94,97,97,97
22,69,4,18,2,242022,45187,1,42,"Conditioned by the brutal nature of the arid regions they inhabit, cactuars are quick to defend themselves with a barrage of painful needles. Cactuar-related injuries have risen since a certain recreational establishment endorsed the creature, leading ignorant pleasure-seekers to chase what they believe to be a beloved mascot.","Delivers a piercing physical attack.","Grants a keen edge to allies.",False,False,False,False,False,True,False,False,False,False,False,97,94,94,94,94
23,70,7,25,2,242023,48647,1,45,"Golems are magical constructs of clay or stone that have been imbued with temporary life. While most are artificially created by mages, natural manifestations have been documented under certain circumstances, particularly in conjunction with calamities and other periods of aetheric instability.","Deals earth-aspected damage.","Deals earth-aspected damage and lowers earth resistance of enemies.",False,False,False,True,False,False,False,False,False,False,False,94,94,94,94,94
24,71,3,48,2,242024,45187,1,32,"The apkallu is a flightless aquatic bird that inhabits coastal regions. It mainly feeds upon small fish such as sardines, and, when threatened, will vomit the caustic contents of its stomach with alarming range and intensity. Some even guise their propellants into fish as large as tuna, to further intimidate potential predators.","Deals water-aspected damage.","Deals water-aspected damage that slows enemy.",True,False,False,False,False,False,False,False,False,False,False,97,97,97,97,85
25,72,6,44,2,242025,49692,1,43,"These immense tortoises native to Thavnair found their way to Eorzea near the end of the Sixth Astral Era─a shipment of dodo eggs intended for feast days had some unintentional additions. The scalekin that were spared consumption hatched and proliferated, their eggs now considered a rare delicacy.","Deals lightning-aspected damage.","Reduces physical vulnerability and improves petrification resistance of allies.",False,False,False,False,False,False,False,False,False,False,False,94,97,94,94,94
26,73,1,30,3,242026,45188,1,30,"The buffalo is a hulking beast with four sturdy legs and a stout pair of curved horns. Most are reared in La Noscea and the Black Shroud as beasts of burden and a source of food, but some have fled their farms for the wilds. Aspiring adventurers tasked with retrieving belligerent buffalo are often trampled by them.","Delivers a blunt physical attack.","Deals unaspected damage that stuns enemies.",False,False,False,False,False,False,True,False,False,False,False,88,88,88,88,88
27,74,5,39,2,242027,48644,1,42,"According to records from the Fifth Astral Era, Nymians ensorcelled uragnites to their current gigantic size to serve as a reliable food source. While this shellfish's texture is serviceable, its flavor is nearly nonexistent, rendering it unpalatable to modern tastes─a notion the Culinarians' Guild seeks to overturn.","Deals ice-aspected damage.","Deals unaspected damage that poisons enemies.",False,False,False,False,False,True,False,False,False,False,False,91,91,91,91,91
28,75,2,26,2,242028,49694,1,45,"Worms are massive, segmented creatures of voracious appetite. By rhythmically vibrating their bodies, they are able to propel themselves through sand at remarkable speeds. Furthermore, as worms possess no developmental apex, they simply grow bigger the longer they live, making size a clear indication of age.","Deals earth-aspected damage that blinds enemies.","Deals earth-aspected damage and inflicts heaviness on enemies.",False,False,False,False,True,False,False,False,False,True,False,91,91,91,91,91
29,76,7,33,2,242029,49691,1,43,"These black-furred soulkin are known to inhabit rocky regions and the deep recesses of mines. Their classification as soulkin is based on a theory expounded in the Codex of Stone, which asserts that the creatures are naught but vessels for the will of earth. Yet, some spriggans have exhibited intelligence enough to understand the common tongue.","Deals fire-aspected damage.","Delivers a sevenfold blunt physical attack.",False,False,False,True,False,False,False,False,False,False,False,91,91,100,91,91
30,77,1,21,3,242030,45188,1,31,"This lumbering beast enjoys a symbiotic relationship with the moss and lichen growing atop its head, reaping the benefits of its camouflage in return for ample moisture. The goobbue is a relentless predator, shoveling anything that skitters or crawls into its cavernous mouth─though often expelling it again with a sneeze.","Delivers a blunt physical attack.","Deals unaspected damage that sickens enemies.",False,False,False,False,False,False,False,False,False,True,False,85,85,85,85,85
31,78,5,19,2,242031,45188,1,31,"Gigantoads are possessed of bloated bodies supported by four stumpy limbs. The celerity with which their sticky tongue extends to trap beetles and other vilekin before swallowing them whole is an unforgettable sight. Ninja of the Far East are known to call upon similar familiars in battle, great toads known as ""gama.""","Deals ice-aspected damage.","Delivers a blunt physical attack that draws in and reduces accuracy of enemy.",False,False,False,False,True,False,False,False,False,False,False,88,88,88,88,88
32,79,3,50,2,242032,45187,1,32,"Native to tropical climes, the colorful colibri has a curved beak developed to better access nectar hidden deep within flowers. This cloudkin also possesses a fascination for shiny objects and the uncanny skill of mimicry, the combination of which allows them to distract merchants with a few choice words before stealing their merchandise.","Delivers a piercing physical attack.","Delivers a fivefold piercing physical attack.",False,False,False,False,False,False,False,False,False,False,False,88,88,88,88,88
33,80,1,14,3,242033,48645,1,350,"These predatory quadrupeds, unrivaled in their savagery, trace their origins to regions of the Near East. Coeurls subdue their prey by unleashing electrical shocks from the two whip-like appendages that frame their fang-lined jaws, making them highly valued beasts of war─especially amongst pirates.","Deals lightning-aspected damage.","Deals lightning-aspected damage that paralyzes and lowers lightning resistance of enemies.",False,False,True,False,False,False,False,False,False,False,False,94,94,94,94,79
34,81,6,14,2,242034,48644,1,54,"Though not related to birds, raptors are so named for the speed with which they fall upon their prey. These forest-dwelling carnivorous scalekin hunt in tandem, and the bond between partners is known to be both fierce and deep.","Deals ice-aspected damage.","Deals fire-aspected damage and lowers fire resistance of enemies.",False,False,False,False,False,False,False,False,False,False,False,91,91,100,91,91
35,82,6,46,2,242035,49691,1,45,"These large and vicious scalekin roast their quarry with torrid breath before feasting. The Amalj'aa domesticate drakes as mounts, and dragons command their allegiance. Depending on the subspecies, the quality of their breath may differ, a most notable example found in the biast, which spits lightning instead of flame.","Deals fire-aspected damage.","Reduces magic vulnerability and improves fire resistance of allies.",False,False,False,False,False,False,False,False,False,False,False,88,100,88,88,88
36,83,4,10,2,242036,48647,1,54,"Treants are towering, ambulatory seedkin that are oft spotted in the Black Shroud. These treelike creatures are stirred to action by empty stomachs and will readily swallow any beast they find, even aggressive predators. Perhaps it is for this reason that people warmly refer to these lumbering giants as guardians of the forest.","Deals earth-aspected damage that causes nightmares.","Deals wind-aspected damage that knocks back enemies.",False,False,False,False,False,True,False,True,False,False,False,94,100,91,91,91
37,84,2,32,1,242037,45186,2,12,"Gigantic vilekin ubiquitous in desert regions. Despite their lack of intelligence, antlings adhere to a rigidly structured society with the queen ensconced at its heart. Their underground nest grows grander as the colony increases in scope, becoming positively labyrinthine at places─enough to trap explorers for eternity.","Delivers a piercing physical attack.","Slows enemies and improves water, earth, and ice resistance of allies.",True,False,False,False,False,False,False,False,False,False,False,88,88,88,88,88
38,85,1,21,3,242038,45186,2,12,"A nightmarish combination of lion, goat, and dragon, the fell chimera has three heads, a pair of mighty wings, and a cruelly barbed tail. This creature is a classic example of the twisted creations birthed by fusing beasts with forbidden sorcery.","Deals fire-aspected damage particularly effective against deeply frozen enemies.","Deals ice-aspected damage that deeply freezes and lowers ice resistance of enemies.",False,True,False,False,False,False,False,False,False,False,False,79,79,79,100,94
39,86,4,22,2,242039,45188,1,54,"The morbol moves upon slime-covered vines and roots. This aggressive seedkin is most notable for the noxious breath it releases to immobilize and capture prey. The quality of said breath varies according to subspecies, location, and diet, driving extreme aromatic connoisseurs to keep morbols as pets for study.","Delivers a piercing physical attack.","Deals unaspected damage that slows, blinds, and paralyzes enemies.",True,False,True,False,True,True,False,False,False,False,False,88,88,88,88,88
40,87,8,17,5,242040,49693,1,30,"As they most often appear in graveyards and places of passing, these drifting apparitions are said to be souls tethered to the mortal world by regret and thwarted purpose. Those that whisper curses are indeed malevolent spirits, yet all ghosts mysteriously possess perfectly tangible skin.","Deals wind-aspected damage that may doom enemies.","Deals unaspected damage that may doom enemies. Inflicts additional damage upon diseased enemies.",False,False,False,False,False,False,False,False,False,False,True,94,94,94,94,94
41,88,5,16,2,242041,48648,1,54,"Salamanders wait motionless on riverbeds for the perfect moment to strike, stunning their prey with electricity generated by a specialized organ before swallowing their victims whole. This formidable wavekin boasts various combative abilities, including viscous secretions projected upon encroaching enemies.","Deals water-aspected damage.","Deals unaspected damage that increases magic vulnerability of enemies.",False,False,False,False,False,False,False,False,False,False,False,85,85,85,85,85
42,89,6,30,2,242042,45187,1,67,"The cobra is a gigantic scalekin, large enough to swallow a man whole. So powerful is this beast that its blood is purported to hold powerful alchemical agents, and for this reason, many have attempted its capture. Unfortunately, just as many have failed in their attempts, leaving the true nature of this serpent's blood in perpetual mystery.","Delivers a piercing physical attack that poisons enemy.","Deals unaspected damage that petrifies enemy.",False,True,False,False,False,True,False,False,False,False,False,85,85,85,85,85
43,90,6,13,3,242043,45186,2,75,"Developed by the Imperial Allagan Army, the hydra is very much draconian in appearance. Amongst its several heads it boasts a wide array of breath-based weaponry, but the blood of dragons did not grant it a modicum of its forebearer's intelligence. The heads are wont to squabble and thus inflict devastating damage upon its own body.","Delivers a piercing physical attack.","Deals unaspected damage that sickens enemies.",False,False,False,False,False,False,False,False,False,True,False,82,82,82,82,82
44,91,2,41,1,242044,49693,2,22,"Damselflies possess six wings; a slender, knotted body; and a taste for meat. Extremely territorial, this vilekin will patrol an endless circuit in protection of its watery spawning grounds. Oftentimes, damselflies are subject to parasitism, and the larvae of other large flies can be readily harvested from their stomachs.","Deals wind-aspected damage.","Deals unaspected damage that poisons enemies.",False,False,False,False,False,True,False,False,False,False,False,85,85,85,85,85
45,92,8,29,5,242045,49694,2,22,"Rotting goobbues are believed to be mobile corpses manipulated by a deadly funguar. Perishing almost immediately upon infection, the goobbue is guided like a puppet to fertile territory where the funguar proliferates. Naturalists have yet to conclude whether its spores are harmful to mankind.","Deals earth-aspected damage.","Deals unaspected damage that draws in enemies.",False,False,False,False,False,False,False,False,False,False,False,91,97,91,91,91
46,93,3,15,3,242046,49698,2,17,"Zu migrate seasonally and have become more prevalent in Eorzea since the Calamity. With unease at more frequent sightings came an upsurge in swindlers eager to profit off fear, some Ul'dahn merchants going as far to tout ""single-strike zu-slaying swords"" amongst their other dubious offerings.","Rushes enemy and delivers a blunt physical attack.","Deals wind-aspected damage and lowers wind resistance of enemies.",False,False,False,False,False,False,False,False,False,False,False,85,85,85,85,97
47,94,7,28,3,242047,49690,2,27,"Magical constructs of ice that have been imbued with temporary life. While natural manifestations are not unheard of, most ice golems are intentionally created. Records indicate that at least one great mage of eld brought to bear an army of ice soldiers during the War of the Magi.","Deals ice-aspected damage.","Increases magic damage dealt by allies.",False,False,False,True,False,False,False,False,False,False,False,88,88,88,88,88
48,95,5,24,3,242048,49695,2,28,"This scorpion-like wavekin uses its rear appendage to catch and dismember its victims before gorging on their innards. Sailors still pass down the tale of that one cursed waterway─how a beast lay in wait beneath the waves, hulled countless vessels, and interred a graveyard of ships upon the ocean floor.","Delivers a piercing physical attack.","Deals water-aspected damage. Occasionally reduces enemy HP to a single digit.",False,False,False,False,False,False,False,False,False,False,True,82,82,82,82,82
49,96,4,49,3,242049,45187,2,98,"Thought to be long extinct, this carnivorous seedkin has made a resurgence after dormant seeds buried in ancient soil were unearthed during the Calamity. The peculiar aroma emitted by the rafflesia's flowers are said to attract and control bees, making them especially loathsome creatures amongst certain adventurers.","Deals wind-aspected damage.","Deals unaspected damage that may doom enemies.",False,False,False,False,False,True,False,False,False,False,True,85,85,85,85,85
50,97,1,26,4,242050,48645,2,92,"As the first sightings of these heavily muscled beasts coincided with the Seventh Umbral Calamity, scholars believed them to be spawn of the elder primal Bahamut and thus dubbed them ""behemoths."" Recent studies have offered a new popular opinion, suggesting that these creatures have existed independently since time immemorial.","Deals lightning-aspected damage.","Deals fire-aspected damage.",False,False,False,False,False,False,False,False,False,False,False,76,76,76,76,97
