key,0,1
14,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_006","(-General Daily Report-)<Emphasis>Major incident. Details in full report.</Emphasis>"
15,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_007","(-Draft Document-)<Emphasis>Those two inept Milalla broke with Preservation and absconded with the key. Though the fugitives have since been caught and eliminated, we were too late to recover the relic.</Emphasis>"
16,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_008","(-Draft Document-)<Emphasis>The only reason we retained our flesh was to serve Master Calyx as physical instruments to conduct his experiments.</Emphasis>"
17,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_009","(-Draft Document-)<Emphasis>Deprived of the object of our research, our existence serves no further purpose. I dare not imagine the depths of his disappointment in me.</Emphasis>"
18,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_010","(-Draft Document-)<Emphasis>The complex is to be shut down. All personnel will have their bodies reduced to aether, which will be allocated for further experimentation.</Emphasis>"
19,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_011","(-Draft Document-)<Emphasis>Memory data will be archived. Any Endless conversions will be subject to Master Calyx's discretion. If he does not deem us fit, then we are not deserving of eternal life.</Emphasis>"
20,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_012","(-Shutdown Protocols-)<Emphasis>All personnel have undergone processing. Once the shutdown protocols have been completed, I will proceed with my own corporeal dissolution.</Emphasis>"
21,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_013","(-Shutdown Protocols-)<Emphasis>As long as the key remains in the physical world, we must keep this complex in pristine condition. Whether it be needed for experiments or otherwise, it must be ready to support future operations in whatever capacity Master Calyx requires.</Emphasis>"
22,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_014","(-Shutdown Protocols-)<Emphasis>To that end, facility equipment will be maintained in “stasis” mode. Furthermore, a critical component for secure room access will be stored separately to defend against unauthorized entry.</Emphasis>"
23,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_015","The door to the locker swings open easily..."
24,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_016","...It contains nothing of note. You quietly shut the locker door."
25,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_020","(-Memory Duplication-)<Emphasis>It is well known that the Alexandrian royal family promulgated a number of fundamental principles governing Endless research.</Emphasis>"
26,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_021","(-Memory Duplication-)<Emphasis>Among these was the strict prohibition on memory duplication.</Emphasis>"
27,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_022","(-Memory Duplication-)<Emphasis>However, in the wake of the Storm Surge, the provisional government sought to revise this prohibition and make one key exception: Queen Sphene.</Emphasis>"
28,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_023","(-Memory Duplication-)<Emphasis>The decision was ultimately made to equip her Endless counterpart with a tiara-variant regulator, thereby enabling the routine backup of her memories.</Emphasis>"
29,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_024","(-Memory Duplication-)<Emphasis>Intriguingly, it was Master Calyx who objected most strenuously to this proposal.</Emphasis>"
30,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_025","(-Memory Duplication-)<Emphasis>It was his assertion that one's corporeal form─whether flesh and blood or Endless construct─is nothing more than a vessel, and that as a vessel, it is to be modified and experimented upon should circumstances require it.</Emphasis>"
31,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_026","(-Memory Duplication-)<Emphasis>Memory, however, was sacrosanct and inviolable. The very essence of life and personhood.</Emphasis>"
32,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_027","(-Memory Duplication-)<Emphasis>When Master Calyx eventually acquiesced to the provisional government's request, a number of this facility's personnel duplicated their memories to verify the efficacy of the technology.</Emphasis>"
33,"TEXT_REGSAKPRESERVATIONLABODIRECTORSOFFICE_00974_SYSTEM_000_028","(-Memory Duplication-)<Emphasis>Yet Master Calyx refused to even entertain the notion. To this day, he has avoided creating even a single backup of his own memories─a resolution which I myself have chosen to emulate.</Emphasis>"
